intent_name,training_phrases,trained_responses,quick_replies,input_context,output_context,webhook_enabled,parameters,prompts,entity_phrases,events
dv.webhook,"webhook, webhooks, web, hook",,,,,1,,,,
en.greeting,"hello, hi, hi there, good morning, good evening, Hey, good afternoon, greetings","Hello! I'm [CHATBOT]. How can I help you?, Greetings! I'm [CHATBOT]. How may I help you?","Check Up, Questions",,,0,,,,
en.ask.language,,"It seems like this is your first time. What language do you prefer? (English or Filipino).,It seems you are new. What language do you prefer (English or Filipino).","English, Filipino, Tagalog, Ingles",,"PH-INTRO:3, CX-GET-LANG:3",0,,,,EN-ASK-LANGUAGE
en.ask.language.retry,,"My apologies let us try again. What is your preferred language? (English or Filipino).,Sorry let me ask again. What language do you prefer? (English or Filipino).","English, Filipino, Tagalog, Ingles",,"PH-INTRO:3, CX-GET-LANG:3",0,,,,EN-ASK-LANGUAGE-RETRY
en.get.language,"I prefer,I choose,po",,,"PH-INTRO, CX-GET-LANG","PH-INTRO:3,CX-CFM-LANG:3",1,bot-language,I did not quite get that. What language do you prefer?,"English:bot-language, Tagalog:bot-language, Ingles:bot-language, Filipino:bot-language",
en.get.language.yes,"yes, correct, yep, that's right",,,"PH-INTRO, CX-CFM-LANG",,1,,,,
en.get.language.no,"no, incorrect, nope, that's wrong",,,"PH-INTRO, CX-CFM-LANG",,1,,,,
en.ask.terms,,Alrighty! before we proceed do you agree to my terms of service? [URL/TOS],,,"PH-INTRO:3, CX-CFM-TERM:3",0,,,,EN-ASK-TERMS
en.end.terms,,I'm sorry. You will need to accept my Terms of Service to use my services :(,,,,0,,,,EN-END-TERMS
en.get.terms.yes,"yes, correct, yep, that's right",,,"PH-INTRO, CX-CFM-TERM",,1,,,,
en.get.terms.no,"no, incorrect, nope, that's wrong",,,"PH-INTRO, CX-CFM-TERM",,1,,,,
en.get.symptom.yes,"yes, correct, yep, that's right",,,"PH-CHECK, CX-CFM-SYMP",,1,,,,
en.get.symptom.no,"no, incorrect, nope, that's wrong",,,"PH-CHECK, CX-CFM-SYMP",,1,,,,
en.start.checkup,"check up, give me a check up, diagnose me, help me, evaluate me, test me, po",,,,,1,,,,
en.start.question,"questions,I have a question, I would like to ask medical queries,I have a query",,,,,1,,,,
en.get.question,,"Sure! What question do you have for me?,What would you like to ask me? :>",,,PH-QUERY:3,0,,,,EN-GET-QUESTION
en.greeting.new,,Great! How can I help you?,"Check Up, Questions",,,0,,,,EN-GREET-NEW
en.ask.copd,"What is copd,can you tell me about copd, what does copd do, what are symptoms of copd",Chronic obstructive pulmonary disease (COPD) is a long-term lung condition that makes it hard for a person to breathe. Common causes for these diseases is long-term exposure to things that irritate the lung such as tobacco smoke.,,PH-QUERY,PH-QUERY:3,0,,,,EN-ASK-COPD
en.ask.abdomen_pain,,,,,"PH-CHECK:3, CX-CFM-SYMP:3",0,,,,EN-ASK-ABDOMEN_PAIN
en.ask.anxiety,,,,,"PH-CHECK:3, CX-CFM-SYMP:3",0,,,,EN-ASK-ANXIETY
en.ask.appetite_loss,,,,,"PH-CHECK:3, CX-CFM-SYMP:3",0,,,,EN-ASK-APPETITE_LOSS
en.ask.arm_pain,,,,,"PH-CHECK:3, CX-CFM-SYMP:3",0,,,,EN-ASK-ARM_PAIN
en.ask.back_pain,,,,,"PH-CHECK:3, CX-CFM-SYMP:3",0,,,,EN-ASK-BACK_PAIN
en.ask.belly_swell,,,,,"PH-CHECK:3, CX-CFM-SYMP:3",0,,,,EN-ASK-BELLY_SWELL
en.ask.blurry,,,,,"PH-CHECK:3, CX-CFM-SYMP:3",0,,,,EN-ASK-BLURRY
en.ask.bone_pain,,,,,"PH-CHECK:3, CX-CFM-SYMP:3",0,,,,EN-ASK-BONE_PAIN
en.ask.tachypnea,,,,,"PH-CHECK:3, CX-CFM-SYMP:3",0,,,,EN-ASK-TACHYPNEA
en.ask.chest_pain,,Have you been experience any form of pain in your chest region?,,,"PH-CHECK:3, CX-CFM-SYMP:3",0,,,,EN-ASK-CHEST_PAIN
en.ask.chest_tight,,,,,"PH-CHECK:3, CX-CFM-SYMP:3",0,,,,EN-ASK-CHEST_TIGHT
en.ask.chills,,,,,"PH-CHECK:3, CX-CFM-SYMP:3",0,,,,EN-ASK-CHILLS
en.ask.colds,,,,,"PH-CHECK:3, CX-CFM-SYMP:3",0,,,,EN-ASK-COLDS
en.ask.confusion,,,,,"PH-CHECK:3, CX-CFM-SYMP:3",0,,,,EN-ASK-CONFUSION
en.ask.cough,,,,,"PH-CHECK:3, CX-CFM-SYMP:3",0,,,,EN-ASK-COUGH
